Project Type,Project Scope Complexity,Project Location,Technical Feasibility,Financial Feasibility,Bid Bond or Guarantee,Contract Terms,Project Timeline Months,Project Budget,Relevant Experience,Internal Resources Available,Subcontractors Work,Partner or Joint Venture,Regulatory Issues,Risk Level,Outcome of Risks,Market Demand,Client Reliability,Strategic Alignment,Long Term Impact,Initial Go NoGo Decision
Maintenance Work,Low,Makkah,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,Yes,Minor,Medium,Unmitigated,High,High,Medium,High,Go
Maintenance Work,Low,Al Madinah,Feasible,Feasible,Yes,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,High,Medium,Go
Maintenance Work,Low,Al Madinah,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,Medium,Medium,High,Go
Maintenance Work,Low,Al Qassim,Feasible,Feasible,Yes,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Low,Unmitigated,High,High,Medium,High,Go
Maintenance Work,Low,Al Qassim,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,High,High,High,Go
Maintenance Work,Low,Al Qassim,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Major,Medium,Unmitigated,High,High,High,High,Go
Maintenance Work,Low,Al Qassim,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,Yes,Minor,Medium,Mitigated,High,High,High,Low,Go
Maintenance Work,Low,Al Qassim,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Medium,Unmitigated,High,High,Medium,Medium,Go
Maintenance Work,Low,Aseer,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Low,Aseer,Feasible,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Low,Aseer,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,Low,Medium,Low,Go
Maintenance Work,Low,Aseer,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,Minor,Medium,Unmitigated,High,Medium,High,Medium,Go
Maintenance Work,Low,Jazan,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,Yes,No,Major,Medium,Mitigated,High,Medium,High,Medium,Go
Maintenance Work,Low,Jazan,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Yanbu,Challenging,Feasible,Yes,Neutral,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Unmitigated,High,Medium,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Al Baha,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Medium,Low,High,Go
Drainage and Stormwater Construction,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,No,Yes,Yes,No,None,Low,Unmitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Aseer,Challenging,Feasible,Yes,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Low,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Aseer,Challenging,Feasible,Yes,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,No,No,Major,Low,Unmitigated,High,Low,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Aseer,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,Medium,Low,Go
Drainage and Stormwater Construction,Low,Riyadh,Challenging,Feasible,Yes,Neutral,Above  48 Months,100 - 150 Million,Yes,Yes,No,No,None,Medium,Unmitigated,High,Medium,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Aseer,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Baha,Challenging,Challenging,Yes,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,Yes,Yes,None,Low,Mitigated,High,Low,High,Low,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,Yes,None,Medium,Mitigated,High,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,No,No,Yes,Minor,Medium,Unmitigated,High,High,Low,Low,Go
"Roads, Highways, and Bridges Construction",Low,Al Baha,Challenging,Unfeasible,Yes,Favorable,36 - 48 Months,100 - 150 Million,No,Yes,No,Yes,None,Low,Unmitigated,High,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Challenging,Feasible,Yes,Favorable,Above  48 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Low,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Aseer,Feasible,Feasible,Yes,Neutral,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Baha,Feasible,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,Medium,Go
Drainage and Stormwater Construction,Low,Aseer,Feasible,Feasible,Yes,Neutral,12 - 24 Months,150 - 200 Million,Yes,Yes,No,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Feasible,Unfeasible,Yes,Favorable,36 - 48 Months,100 - 150 Million,No,Yes,No,No,None,Low,Unmitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Feasible,Unfeasible,Yes,Favorable,36 - 48 Months,100 - 150 Million,No,Yes,No,No,None,Low,Unmitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Feasible,Feasible,Yes,Neutral,36 - 48 Months,100 - 150 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,Medium,Go
Rehabilitation & Repair,Low,Jeddah,Feasible,Feasible,Yes,Neutral,6 - 12 Months,200 - 300 Million,Yes,Yes,No,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Drainage and Stormwater Construction,Low,Al Madinah,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,High,Go
Maintenance Work,Low,Al Madinah,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Low,Al Qassim,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Low,Al Qassim,Feasible,Feasible,No,Neutral,Above  48 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Medium,Aseer,Feasible,Feasible,No,Neutral,24 - 36 Months,10 - 50 Million,No,Yes,No,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Medium,Jeddah,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,No,Yes,No,No,None,Low,Unmitigated,High,High,High,High,Go
Maintenance Work,Medium,Al Qassim,Feasible,Feasible,No,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Low,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Medium,Riyadh,Feasible,Feasible,No,Neutral,24 - 36 Months,10 - 50 Million,No,Yes,Yes,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Medium,Riyadh,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,No,Yes,Yes,No,None,Low,Unmitigated,High,High,High,High,Go
Maintenance Work,Medium,Riyadh,Feasible,Feasible,No,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Low,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Medium,Aseer,Feasible,Feasible,No,Neutral,24 - 36 Months,10 - 50 Million,No,Yes,Yes,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Medium,Riyadh,Feasible,Feasible,No,Neutral,24 - 36 Months,10 - 50 Million,No,No,No,Yes,None,Medium,Unmitigated,High,Medium,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Al Qassim,Feasible,Feasible,Yes,Favorable,Above  48 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,High,Medium,Go
Maintenance Work,Low,Riyadh,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Medium,High,Low,Go
Maintenance Work,Low,Riyadh,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,High,Medium,Go
Maintenance Work,Low,Riyadh,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Low,High,High,Go
Infrastructure Development,Low,Riyadh,Challenging,Feasible,Yes,Favorable,12 - 24 Months,100 - 150 Million,Yes,Yes,Yes,No,None,Low,Mitigated,High,Medium,Medium,Medium,Go
Rehabilitation & Repair,Low,Jeddah,Challenging,Feasible,Yes,Favorable,24 - 36 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,Medium,Medium,Go
Maintenance Work,Low,Al Qassim,Challenging,Feasible,Yes,Favorable,36 - 48 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Al Qassim,Challenging,Feasible,No,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Low,Mitigated,High,High,Medium,High,Go
Maintenance Work,Low,Riyadh,Challenging,Feasible,No,Favorable,36 - 48 Months,300 - 400 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,High,Medium,Go
Maintenance Work,Low,Riyadh,Challenging,Feasible,No,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,No,Neutral,Above  48 Months,200 - 300 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,Medium,High,Go
Maintenance Work,Low,Riyadh,Challenging,Feasible,No,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Low,Medium,Medium,Go
Drainage and Stormwater Construction,Low,Riyadh,Challenging,Feasible,No,Neutral,Above  48 Months,400 - 500 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Medium,Medium,Low,Go
Maintenance Work,Low,Riyadh,Challenging,Feasible,No,Neutral,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,Medium,Medium,Go
Drainage and Stormwater Construction,Medium,Riyadh,Challenging,Feasible,No,Neutral,Above  48 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,Medium,Medium,Low,Go
Rehabilitation & Repair,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Low,Mitigated,High,High,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Challenging,Feasible,Yes,Neutral,36 - 48 Months,200 - 300 Million,Yes,Yes,No,No,Minor,Low,Mitigated,High,High,Medium,High,Go
Maintenance Work,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,24 - 36 Months,200 - 300 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,Medium,Medium,Medium,Go
Maintenance Work,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,24 - 36 Months,500 - 600 Million,Yes,Yes,No,No,Minor,Low,Mitigated,High,Medium,Medium,High,Go
Maintenance Work,Medium,Yanbu,Challenging,Feasible,Yes,Neutral,Above  48 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Low,Mitigated,High,High,High,High,Go
Drainage and Stormwater Construction,Medium,Jeddah,Challenging,Feasible,Yes,Neutral,Less than 6  Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,Medium,Medium,Medium,Go
Drainage and Stormwater Construction,Medium,Riyadh,Feasible,Feasible,Yes,Neutral,24 - 36 Months,400 - 500 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,High,High,Go
Drainage and Stormwater Construction,Low,Riyadh,Feasible,Feasible,Yes,Neutral,24 - 36 Months,200 - 300 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,High,Low,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Feasible,Feasible,Yes,Neutral,24 - 36 Months,200 - 300 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Feasible,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,Medium,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Jeddah,Feasible,Feasible,Yes,Neutral,6 - 12 Months,50 - 100 Million,Yes,Yes,Yes,No,Minor,Low,Mitigated,High,Low,High,Low,Go
Rehabilitation & Repair,Low,Riyadh,Feasible,Feasible,Yes,Neutral,6 - 12 Months,10 - 50 Million,Yes,Yes,Yes,No,Minor,Low,Mitigated,High,High,Medium,High,Go
Infrastructure Development,Low,Al Madinah,Feasible,Feasible,Yes,Neutral,Less than 6  Months,10 - 50 Million,Yes,Yes,Yes,No,Minor,Medium,Mitigated,High,High,High,High,Go
Rehabilitation & Repair,Low,Riyadh,Feasible,Feasible,Yes,Neutral,12 - 24 Months,10 - 50 Million,Yes,Yes,Yes,No,Minor,Low,Mitigated,High,High,Low,Medium,Go
Rehabilitation & Repair,Low,Eastern Province,Feasible,Feasible,Yes,Neutral,12 - 24 Months,10 - 50 Million,Yes,Yes,Yes,No,Minor,Low,Mitigated,High,Low,Low,Low,Go
Infrastructure Development,Low,Al Madinah,Feasible,Feasible,Yes,Neutral,12 - 24 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Low,Mitigated,High,High,Low,Low,Go
Infrastructure Development,Low,Jeddah,Challenging,Feasible,Yes,Neutral,Above  48 Months,300 - 400 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,Medium,High,Go
Infrastructure Development,Low,Tabuk & Khamis Mushait,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Low,Mitigated,High,Low,High,High,Go
